approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,تفسير سورة الإخلاص,tfsyr swrh alakhlas,Ibn Taymiyyah,ابن تيمية,quran-studies,5.1,,https://waqfeya.net/books/تفسير-سورة-الإخلاص-fd19e3c27dc0441886c473b40738bfa4
x,ok,تفسير سورة النور,tfsyr swrh alnwr,Ibn Taymiyyah,ابن تيمية,quran-studies,3.8,,https://waqfeya.net/books/تفسير-سورة-النور-8bb8d6642787451491962a7aa9b9fc12
,possible-dupe,تفسير القرآن العظيم = تفسير ابن كثير - ط. ابن حزم,tfsyr alqran alazym tfsyr abn kthyr t abn hzm,Ibn Kathir,ابن كثير,quran-studies,68.3,,https://waqfeya.net/books/تفسير-القرآن-العظيم-تفسير-ابن-كثير-ط-ابن-حزم-cb594d816b6844248e534221014a5bcc
,review,زاد المسير في علم التفسير - ط المكتب الإسلامي ودار ابن حزم,zad almsyr fy alm altfsyr t almktb alaslamy wdar abn hzm,Ibn al-Jawzi,ابن الجوزي,quran-studies,61.4,,https://waqfeya.net/books/زاد-المسير-في-علم-التفسير--ط-المكتب-الإسلامي-ودار-ابن-حزم-1d8eed588ae74bcea7604d12683f79a8
x,ok,فتح القدير الجامع بين فني الرواية والدراية من علم التفسير = تفسير الشوكاني - ط. المعرفة,fth alqdyr aljama byn fny alrwayh waldrayh mn alm altfsyr tfsyr alshwkany t almarfh,al-Shawkani,الشوكاني,quran-studies,65.4,,https://waqfeya.net/books/فتح-القدير-الجامع-بين-فني-الرواية-والدراية-من-علم-التفسير-تفسير-الشوكاني-ط-المعرفة-17104f0d60a64fe5ae920595e43221fe
x,ok,معالم التنزيل = تفسير البغوي - ط. ابن حزم,maalm altnzyl tfsyr albghwy t abn hzm,al-Baghawi,البغوي,quran-studies,61.1,,https://waqfeya.net/books/معالم-التنزيل-تفسير-البغوي-ط-ابن-حزم-7c0dbc673cb345a5becb7fd68d0f507e
,review,الجامع لأحكام القرآن = تفسير القرطبي - ت: التركي,aljama lahkam alqran tfsyr alqrtby t altrky,al-Qurtubi,القرطبي,quran-studies,11.8,,https://waqfeya.net/books/الجامع-لأحكام-القرآن-تفسير-القرطبي-ت-التركي-f6a37993f47645c6905704cafd15a7e7
,review,الجامع لأحكام القرآن = تفسير القرطبي,aljama lahkam alqran tfsyr alqrtby,al-Qurtubi,القرطبي,quran-studies,17.1,,https://waqfeya.net/books/الجامع-لأحكام-القرآن-تفسير-القرطبي-e336d626d1534fef888d11470a5c110a
x,ok,تفسير القرآن العظيم = تفسير ابن كثير - ط. طيبة,tfsyr alqran alazym tfsyr abn kthyr t tybh,Ibn Kathir,ابن كثير,quran-studies,18.9,,https://waqfeya.net/books/تفسير-القرآن-العظيم-تفسير-ابن-كثير-ط-طيبة-a9419796dbfe447c8d790445a209bbe3
x,ok,روائع التفسير الجامع لتفسير الإمام ابن رجب الحنبلي,rwaya altfsyr aljama ltfsyr alamam abn rjb alhnbly,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,quran-studies,12.9,,https://waqfeya.net/books/روائع-التفسير-الجامع-لتفسير-الإمام-ابن-رجب-الحنبلي-1b96cb68a19947c48f40d44a522b5d89
x,ok,تفسير النسائي,tfsyr alnsayy,al-Nasa'i,أحمد بن شعيب النسائي,quran-studies,11.2,,https://waqfeya.net/books/تفسير-النسائي-31225793906f4f669f26272adb3aa24d
,possible-dupe,معالم التنزيل = تفسير البغوي - ط. دار طيبة,maalm altnzyl tfsyr albghwy t dar tybh,al-Baghawi,البغوي,quran-studies,12.4,,https://waqfeya.net/books/معالم-التنزيل-تفسير-البغوي-ط-دار-طيبة-62a02391d9854b00bceb37bd84e94365
x,ok,الضوء المنير على التفسير,aldw almnyr aly altfsyr,Ibn al-Qayyim,ابن قيم الجوزية,quran-studies,13.8,,https://waqfeya.net/books/الضوء-المنير-على-التفسير-ae6e37fe05e242dc8596b640d2b58e6a
x,ok,التفسير الكبير,altfsyr alkbyr,Ibn Taymiyyah,ابن تيمية,quran-studies,9.6,,https://waqfeya.net/books/التفسير-الكبير-e18fb7abec3349248a04b9ff5638003f
x,ok,دقائق التفسير الجامع لتفسير الإمام ابن تيمية,dqayq altfsyr aljama ltfsyr alamam abn tymyh,Ibn Taymiyyah,ابن تيمية,quran-studies,11.7,,https://waqfeya.net/books/دقائق-التفسير-الجامع-لتفسير-الإمام-ابن-تيمية-8a50e442ad5c416abafeec9bb9ce8da2
